order_id,customer_id,order_status,order_date,required_date,shipped_date,store_id,staff_id,source,extraction_date,is_late,days_late,delivery_status
1,259,4,2016-01-01,2016-01-03,2016-01-03,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
2,1212,4,2016-01-01,2016-01-04,2016-01-03,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
3,523,4,2016-01-02,2016-01-05,2016-01-03,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
4,175,4,2016-01-03,2016-01-04,2016-01-05,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late
5,1324,4,2016-01-03,2016-01-06,2016-01-06,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
6,94,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late
7,324,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late
8,1204,4,,,,2,7,postgres db,2025-04-18 21:40:55,False,,Late
9,60,4,,,,1,2,postgres db,2025-04-18 21:40:55,False,,Late
10,442,4,,,,2,6,postgres db,2025-04-18 21:40:55,False,,Late
11,1326,4,,,,2,7,postgres db,2025-04-18 21:40:55,False,,Late
12,91,4,,,,1,2,postgres db,2025-04-18 21:40:55,False,,Late
13,873,4,2016-01-08,2016-01-11,2016-01-11,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
14,258,4,2016-01-09,2016-01-11,2016-01-12,1,3,postgres db,2025-04-18 21:40:55,True,1.0,Late
15,450,4,2016-01-09,2016-01-10,2016-01-12,2,7,postgres db,2025-04-18 21:40:55,True,2.0,Late
16,552,4,2016-01-12,2016-01-15,2016-01-15,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
17,1175,4,2016-01-12,2016-01-14,2016-01-14,1,3,postgres db,2025-04-18 21:40:55,False,0.0,On Time
18,541,4,2016-01-14,2016-01-17,2016-01-15,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
19,696,4,2016-01-14,2016-01-17,2016-01-16,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
20,923,4,2016-01-14,2016-01-16,2016-01-17,1,2,postgres db,2025-04-18 21:40:55,True,1.0,Late
21,1250,4,2016-01-15,2016-01-16,2016-01-18,2,6,postgres db,2025-04-18 21:40:55,True,2.0,Late
22,1035,4,2016-01-16,2016-01-18,2016-01-17,1,2,postgres db,2025-04-18 21:40:55,False,0.0,Early
23,1149,4,2016-01-16,2016-01-19,2016-01-19,1,2,postgres db,2025-04-18 21:40:55,False,0.0,On Time
24,636,4,2016-01-18,2016-01-20,2016-01-19,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
25,657,4,2016-01-18,2016-01-21,2016-01-21,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
26,1280,4,2016-01-18,2016-01-21,2016-01-19,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
27,57,4,2016-01-19,2016-01-21,2016-01-20,2,7,postgres db,2025-04-18 21:40:55,False,0.0,Early
28,252,4,2016-01-19,2016-01-20,2016-01-21,2,6,postgres db,2025-04-18 21:40:55,True,1.0,Late
29,437,4,2016-01-20,2016-01-22,2016-01-21,2,6,postgres db,2025-04-18 21:40:55,False,0.0,Early
30,1348,4,2016-01-20,2016-01-21,2016-01-21,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
31,1238,4,2016-01-20,2016-01-22,2016-01-22,3,8,postgres db,2025-04-18 21:40:55,False,0.0,On Time
32,1259,4,2016-01-21,2016-01-24,2016-01-22,1,3,postgres db,2025-04-18 21:40:55,False,0.0,Early
33,236,4,2016-01-21,2016-01-22,2016-01-22,2,6,postgres db,2025-04-18 21:40:55,False,0.0,On Time
