order_id,item_id,product_id,quantity,list_price,discount,source,extraction_date
1,1,20,1,599.99,0.2,postgres db,2025-04-18 21:40:55
1,2,8,2,1799.99,0.07,postgres db,2025-04-18 21:40:55
1,3,10,2,1549.0,0.05,postgres db,2025-04-18 21:40:55
1,4,16,2,599.99,0.05,postgres db,2025-04-18 21:40:55
1,5,4,1,2899.99,0.2,postgres db,2025-04-18 21:40:55
2,1,20,1,599.99,0.07,postgres db,2025-04-18 21:40:55
2,2,16,2,599.99,0.05,postgres db,2025-04-18 21:40:55
3,1,3,1,999.99,0.05,postgres db,2025-04-18 21:40:55
3,2,20,1,599.99,0.05,postgres db,2025-04-18 21:40:55
4,1,2,2,749.99,0.1,postgres db,2025-04-18 21:40:55
5,1,10,2,1549.0,0.05,postgres db,2025-04-18 21:40:55
5,2,17,1,429.0,0.07,postgres db,2025-04-18 21:40:55
5,3,26,1,599.99,0.07,postgres db,2025-04-18 21:40:55
6,1,18,1,449.0,0.07,postgres db,2025-04-18 21:40:55
6,2,12,2,549.99,0.05,postgres db,2025-04-18 21:40:55
6,3,20,1,599.99,0.1,postgres db,2025-04-18 21:40:55
6,4,3,2,999.99,0.07,postgres db,2025-04-18 21:40:55
6,5,9,2,2999.99,0.07,postgres db,2025-04-18 21:40:55
7,1,15,1,529.99,0.07,postgres db,2025-04-18 21:40:55
7,2,3,1,999.99,0.1,postgres db,2025-04-18 21:40:55
7,3,17,2,429.0,0.1,postgres db,2025-04-18 21:40:55
8,1,22,1,269.99,0.05,postgres db,2025-04-18 21:40:55
8,2,20,2,599.99,0.07,postgres db,2025-04-18 21:40:55
9,1,7,2,3999.99,0.1,postgres db,2025-04-18 21:40:55
10,1,14,1,269.99,0.1,postgres db,2025-04-18 21:40:55
11,1,8,1,1799.99,0.05,postgres db,2025-04-18 21:40:55
11,2,22,2,269.99,0.1,postgres db,2025-04-18 21:40:55
11,3,16,2,599.99,0.2,postgres db,2025-04-18 21:40:55
12,1,4,2,2899.99,0.1,postgres db,2025-04-18 21:40:55
12,2,11,1,1680.99,0.05,postgres db,2025-04-18 21:40:55
13,1,13,1,269.99,0.1,postgres db,2025-04-18 21:40:55
13,2,17,2,429.0,0.05,postgres db,2025-04-18 21:40:55
13,3,20,2,599.99,0.1,postgres db,2025-04-18 21:40:55
13,4,16,2,599.99,0.05,postgres db,2025-04-18 21:40:55
14,1,6,1,469.99,0.07,postgres db,2025-04-18 21:40:55
15,1,12,2,549.99,0.07,postgres db,2025-04-18 21:40:55
15,2,8,1,1799.99,0.07,postgres db,2025-04-18 21:40:55
15,3,18,2,449.0,0.05,postgres db,2025-04-18 21:40:55
15,4,23,2,299.99,0.2,postgres db,2025-04-18 21:40:55
16,1,8,1,1799.99,0.2,postgres db,2025-04-18 21:40:55
16,2,21,1,269.99,0.05,postgres db,2025-04-18 21:40:55
16,3,13,2,269.99,0.07,postgres db,2025-04-18 21:40:55
16,4,14,1,269.99,0.07,postgres db,2025-04-18 21:40:55
17,1,8,1,1799.99,0.07,postgres db,2025-04-18 21:40:55
17,2,23,1,299.99,0.1,postgres db,2025-04-18 21:40:55
17,3,5,1,1320.99,0.1,postgres db,2025-04-18 21:40:55
