currency,rate,source,extraction_date
AED,3.672985,data lake,2025-04-18 21:40:55
AFN,72.036881,data lake,2025-04-18 21:40:55
ALL,87.27478,data lake,2025-04-18 21:40:55
AMD,390.273167,data lake,2025-04-18 21:40:55
ANG,1.79,data lake,2025-04-18 21:40:55
AOA,916.0,data lake,2025-04-18 21:40:55
ARS,1137.9701,data lake,2025-04-18 21:40:55
AUD,1.565278,data lake,2025-04-18 21:40:55
AWG,1.8025,data lake,2025-04-18 21:40:55
AZN,1.7,data lake,2025-04-18 21:40:55
BAM,1.720686,data lake,2025-04-18 21:40:55
BBD,2.0,data lake,2025-04-18 21:40:55
BDT,121.428063,data lake,2025-04-18 21:40:55
BGN,1.7214,data lake,2025-04-18 21:40:55
BHD,0.376892,data lake,2025-04-18 21:40:55
BIF,2971.548107,data lake,2025-04-18 21:40:55
BMD,1.0,data lake,2025-04-18 21:40:55
BND,1.312071,data lake,2025-04-18 21:40:55
BOB,6.906563,data lake,2025-04-18 21:40:55
BRL,5.808,data lake,2025-04-18 21:40:55
BSD,1.0,data lake,2025-04-18 21:40:55
BTC,1.1818939e-05,data lake,2025-04-18 21:40:55
BTN,85.314623,data lake,2025-04-18 21:40:55
BWP,13.77569,data lake,2025-04-18 21:40:55
BYN,3.270808,data lake,2025-04-18 21:40:55
BZD,2.007496,data lake,2025-04-18 21:40:55
CAD,1.384136,data lake,2025-04-18 21:40:55
CDF,2903.724435,data lake,2025-04-18 21:40:55
CHF,0.818482,data lake,2025-04-18 21:40:55
CLF,0.025221,data lake,2025-04-18 21:40:55
CLP,967.66,data lake,2025-04-18 21:40:55
CNH,7.30189,data lake,2025-04-18 21:40:55
CNY,7.2958,data lake,2025-04-18 21:40:55
COP,4302.727285,data lake,2025-04-18 21:40:55
CRC,502.269783,data lake,2025-04-18 21:40:55
CUC,1.0,data lake,2025-04-18 21:40:55
CUP,25.75,data lake,2025-04-18 21:40:55
CVE,97.009595,data lake,2025-04-18 21:40:55
CZK,22.039021,data lake,2025-04-18 21:40:55
DJF,177.975082,data lake,2025-04-18 21:40:55
DKK,6.565485,data lake,2025-04-18 21:40:55
DOP,59.939823,data lake,2025-04-18 21:40:55
DZD,132.648682,data lake,2025-04-18 21:40:55
EGP,51.1269,data lake,2025-04-18 21:40:55
ERN,15.0,data lake,2025-04-18 21:40:55
ETB,133.023656,data lake,2025-04-18 21:40:55
EUR,0.879321,data lake,2025-04-18 21:40:55
FJD,2.2858,data lake,2025-04-18 21:40:55
FKP,0.753843,data lake,2025-04-18 21:40:55
GBP,0.753843,data lake,2025-04-18 21:40:55
GEL,2.751,data lake,2025-04-18 21:40:55
GGP,0.753843,data lake,2025-04-18 21:40:55
GHS,15.441668,data lake,2025-04-18 21:40:55
GIP,0.753843,data lake,2025-04-18 21:40:55
GMD,72.1572,data lake,2025-04-18 21:40:55
GNF,8650.08664,data lake,2025-04-18 21:40:55
GTQ,7.698128,data lake,2025-04-18 21:40:55
GYD,209.656723,data lake,2025-04-18 21:40:55
HKD,7.76354,data lake,2025-04-18 21:40:55
HNL,25.908819,data lake,2025-04-18 21:40:55
HRK,6.612742,data lake,2025-04-18 21:40:55
HTG,130.419482,data lake,2025-04-18 21:40:55
HUF,359.096536,data lake,2025-04-18 21:40:55
IDR,16864.415699,data lake,2025-04-18 21:40:55
ILS,3.686075,data lake,2025-04-18 21:40:55
IMP,0.753843,data lake,2025-04-18 21:40:55
INR,85.38356,data lake,2025-04-18 21:40:55
IQD,1309.205488,data lake,2025-04-18 21:40:55
IRR,42100.0,data lake,2025-04-18 21:40:55
ISK,127.61,data lake,2025-04-18 21:40:55
JEP,0.753843,data lake,2025-04-18 21:40:55
JMD,157.965574,data lake,2025-04-18 21:40:55
